,model,data_name,sample_len,class_disbalance,f1_test_raw_disbalanced,f1_test_raw_population,f1_test_smote_on_disbalanced,f1_test_smote_on_population
2156,AdaBoost,house_16H,1000,1.0,0.84,0.8441539147229238,0.8946322067594433,0.8412438625204582
2157,Naive Bayes,house_16H,1000,1.0,0.22608695652173913,0.2382172131147541,0.18439716312056736,0.19448094612352168
2158,QDA,house_16H,1000,1.0,0.8235294117647058,0.820277817556924,0.8227360308285164,0.8224920497253542
2159,XGB,house_16H,1000,1.0,0.864321608040201,0.8579096466378411,1.0,0.8508667065152421
2160,Nearest Neighbors,house_16H,2000,0.2,0.2619047619047619,0.35172413793103446,0.6490566037735849,0.5906579608237067
2161,Decision Tree,house_16H,2000,0.2,0.5806451612903226,0.6608110633526444,0.7241379310344828,0.7632666031140769
2162,Random Forest,house_16H,2000,0.2,0.3384615384615385,0.42551231867372785,0.7175257731958763,0.7978210116731518
2163,Neural Net,house_16H,2000,0.2,0.0,0.0,0.4175824175824176,0.7534421213666497
2164,AdaBoost,house_16H,2000,0.2,0.6206896551724138,0.7040797489385269,0.7160493827160493,0.8372306281522237
2165,Naive Bayes,house_16H,2000,0.2,0.18461538461538463,0.11089548100914888,0.19672131147540983,0.17337956788476927
2166,QDA,house_16H,2000,0.2,0.5531914893617021,0.6401370906321401,0.5491525423728814,0.7690700104493208
2167,XGB,house_16H,2000,0.2,0.7578947368421053,0.7386445565969719,1.0,0.822508038585209
2168,Nearest Neighbors,house_16H,2000,0.4,0.4806201550387597,0.5486660533578657,0.7264673311184939,0.6298814229249012
2169,Decision Tree,house_16H,2000,0.4,0.7123287671232876,0.7656147271531887,0.7932203389830509,0.7951518778991471
2170,Random Forest,house_16H,2000,0.4,0.7480916030534351,0.6907216494845361,0.7885057471264367,0.8148823082763857
2171,Neural Net,house_16H,2000,0.4,0.5702479338842975,0.7467324290998767,0.6194331983805668,0.7434135166093929
2172,AdaBoost,house_16H,2000,0.4,0.75,0.795616802258011,0.7909090909090909,0.8405281115561489
2173,Naive Bayes,house_16H,2000,0.4,0.0,0.0,0.4232743867655448,0.6404460212873796
2174,QDA,house_16H,2000,0.4,0.651685393258427,0.8054202192448234,0.6489563567362429,0.7650464521341053
2175,XGB,house_16H,2000,0.4,0.8029197080291971,0.8194308145240432,1.0,0.8514851485148515
2176,Nearest Neighbors,house_16H,2000,0.6,0.5925925925925926,0.5998659517426274,0.7776917118512781,0.6375289575289576
2177,Decision Tree,house_16H,2000,0.6,0.7836734693877551,0.7810727596823853,0.8292682926829268,0.8038319823139278
2178,Random Forest,house_16H,2000,0.6,0.7894736842105263,0.7546976426375128,0.8215434083601286,0.8184306569343066
2179,Neural Net,house_16H,2000,0.6,0.7,0.7535820317542274,0.0,0.0
2180,AdaBoost,house_16H,2000,0.6,0.8392156862745098,0.8245586627089517,0.8290322580645161,0.8438780154756486
2181,Naive Bayes,house_16H,2000,0.6,0.18055555555555555,0.1567465661190412,0.13435114503816795,0.12630422844590883
2182,QDA,house_16H,2000,0.6,0.824,0.7732634338138925,0.7066929133858267,0.7149741210066036
2183,XGB,house_16H,2000,0.6,0.8650793650793651,0.8385587271876462,1.0,0.8507145028884159
2184,Nearest Neighbors,house_16H,2000,0.8,0.6129032258064516,0.6289873025704552,0.7958179581795818,0.6425055928411633
2185,Decision Tree,house_16H,2000,0.8,0.7909967845659164,0.7975478927203065,0.8672456575682382,0.8156059931760866
2186,Random Forest,house_16H,2000,0.8,0.8052805280528053,0.8037383177570093,0.8559113300492611,0.8290920042162325
2187,Neural Net,house_16H,2000,0.8,0.0,0.0,0.0,0.0
2188,AdaBoost,house_16H,2000,0.8,0.8370607028753994,0.8386511416906094,0.8616697135892748,0.8443465491923642
2189,Naive Bayes,house_16H,2000,0.8,0.10650887573964497,0.07367526211391329,0.07328605200945626,0.07203630175836642
2190,QDA,house_16H,2000,0.8,0.7569444444444444,0.780440097799511,0.7657784011220197,0.7571960717913986
2191,XGB,house_16H,2000,0.8,0.8441558441558441,0.8540245566166439,1.0,0.8605862222883499
2192,Nearest Neighbors,house_16H,2000,1.0,0.6467391304347826,0.6555655565556555,0.8118118118118118,0.6596795927534062
2193,Decision Tree,house_16H,2000,1.0,0.8459530026109661,0.8305281485780616,0.8732116428219043,0.8233266302786556
2194,Random Forest,house_16H,2000,1.0,0.8398950131233596,0.8263613679729928,0.8639760837070254,0.8277892257874595
2195,Neural Net,house_16H,2000,1.0,0.6906906906906907,0.6801659751037344,0.7556696619597775,0.7516522623284189
2196,AdaBoost,house_16H,2000,1.0,0.798941798941799,0.8362470862470862,0.8567119155354449,0.8478877444394686
2197,Naive Bayes,house_16H,2000,1.0,0.1932367149758454,0.14842903575297942,0.18800358102059087,0.16210413311862587
2198,QDA,house_16H,2000,1.0,0.6928104575163399,0.6743759177679882,0.6712759270898806,0.6545522667665793
2199,XGB,house_16H,2000,1.0,0.8486486486486486,0.8620993825345487,1.0,0.8629246676514033
2200,Nearest Neighbors,house_16H,3000,0.2,0.35772357723577236,0.35175202156334234,0.6360338573155986,0.617837411207577
2201,Decision Tree,house_16H,3000,0.2,0.671875,0.6207030491357545,0.6796875,0.7831288343558283
2202,Random Forest,house_16H,3000,0.2,0.4731182795698925,0.4698256593652213,0.6775407779171895,0.7951880615197198
2203,Neural Net,house_16H,3000,0.2,0.0,0.0,0.39664804469273746,0.7374314986895402
2204,AdaBoost,house_16H,3000,0.2,0.7058823529411765,0.7102838186509399,0.7133058984910837,0.8403361344537815
2205,Naive Bayes,house_16H,3000,0.2,0.0547945205479452,0.03987286911297313,0.28841607565011823,0.340080971659919
2206,QDA,house_16H,3000,0.2,0.5538461538461539,0.7062764456981664,0.5150300601202404,0.7950063838842389
2207,XGB,house_16H,3000,0.2,0.7401574803149606,0.7468716481944941,1.0,0.8236437246963563
2208,Nearest Neighbors,house_16H,3000,0.4,0.44933920704845814,0.5094984802431611,0.7402985074626866,0.6107784431137725
2209,Decision Tree,house_16H,3000,0.4,0.7389558232931727,0.7629209736578859,0.7733918128654971,0.807372175980975
2210,Random Forest,house_16H,3000,0.4,0.6411483253588517,0.688451541032306,0.7658937920718025,0.8059565415590336
2211,Neural Net,house_16H,3000,0.4,0.42528735632183906,0.38514442916093533,0.5182149362477231,0.7193738656987296
2212,AdaBoost,house_16H,3000,0.4,0.7736625514403292,0.7939363651507579,0.7712519319938176,0.8373639661426844
2213,Naive Bayes,house_16H,3000,0.4,0.1917808219178082,0.15683104284559418,0.2459016393442623,0.25265822784810127
2214,QDA,house_16H,3000,0.4,0.7148936170212766,0.7643697478991597,0.7035971223021583,0.8177777777777778
2215,XGB,house_16H,3000,0.4,0.8192771084337349,0.8197903014416776,1.0,0.8452995463788519
2216,Nearest Neighbors,house_16H,3000,0.6,0.5672514619883041,0.6037162162162162,0.7762460233297985,0.6406564483666202
2217,Decision Tree,house_16H,3000,0.6,0.7665706051873199,0.7830006439150032,0.8278041074249605,0.817424353164742
2218,Random Forest,house_16H,3000,0.6,0.7423312883435583,0.7791472351765489,0.8216159496327388,0.8221132411948283
2219,Neural Net,house_16H,3000,0.6,0.6483300589390962,0.7377285851780558,0.6379707916986933,0.7345238095238096
2220,AdaBoost,house_16H,3000,0.6,0.7977839335180056,0.8280113815997471,0.8341333333333333,0.8519124869772288
2221,Naive Bayes,house_16H,3000,0.6,0.12,0.1020066889632107,0.13034623217922606,0.11962513781697905
2222,QDA,house_16H,3000,0.6,0.6174496644295302,0.6726256983240223,0.7623931623931623,0.8001907486886027
2223,XGB,house_16H,3000,0.6,0.7899159663865546,0.8409126671911881,1.0,0.8603030303030303
2224,Nearest Neighbors,house_16H,3000,0.8,0.5862068965517241,0.6430114162295588,0.8011409942950285,0.6688225782742907
2225,Decision Tree,house_16H,3000,0.8,0.7894736842105263,0.8061332928495522,0.8440905280804694,0.8000610966855048
2226,Random Forest,house_16H,3000,0.8,0.7886710239651417,0.8111521873074553,0.8453692370461037,0.8225951453401259
2227,Neural Net,house_16H,3000,0.8,0.7225130890052356,0.752073497511803,0.7215189873417721,0.7478451224517718
2228,AdaBoost,house_16H,3000,0.8,0.8109243697478992,0.8352765321375187,0.8450819672131148,0.8513214232983907
2229,Naive Bayes,house_16H,3000,0.8,0.0963855421686747,0.11965811965811966,0.1470811220621683,0.13595413595413594
2230,QDA,house_16H,3000,0.8,0.6324324324324324,0.6375496313102665,0.7124756335282652,0.7273684210526316
2231,XGB,house_16H,3000,0.8,0.8675213675213675,0.8617518468264737,0.9983319432860718,0.8679357525282569
