,model,data_name,sample_len,class_disbalance,f1_test_raw_disbalanced,f1_test_raw_population,f1_test_bn_mix_on_disbalanced,f1_test_bn_mix_on_population
188,AdaBoost,bank-marketing,300,0.4,0.3076923076923077,0.5813385442110406,0.6363636363636364,0.6998368678629691
189,Naive Bayes,bank-marketing,300,0.4,0.16666666666666666,0.5637743006164059,0.5853658536585366,0.6103809311650702
190,QDA,bank-marketing,300,0.4,0.3076923076923077,0.5425376762275158,0.5950413223140496,0.5908265213442325
191,XGB,bank-marketing,300,0.4,0.5,0.5917638657462508,1.0,0.6635380534584778
192,Nearest Neighbors,bank-marketing,300,0.5,0.5714285714285714,0.6240343347639485,0.7483870967741936,0.6636207881210737
193,Decision Tree,bank-marketing,300,0.5,0.5,0.6635342185903984,0.7153284671532847,0.6103578573016226
194,Random Forest,bank-marketing,300,0.5,0.47619047619047616,0.6128500823723229,0.7361111111111112,0.7384554922381608
195,Neural Net,bank-marketing,300,0.5,0.49122807017543857,0.6827506128241517,0.6451612903225806,0.6741884402216943
196,AdaBoost,bank-marketing,300,0.5,0.5,0.6953239672887398,0.7108433734939759,0.7265595816212178
197,Naive Bayes,bank-marketing,300,0.5,0.64,0.683628779979145,0.6133333333333333,0.7176354679802955
198,QDA,bank-marketing,300,0.5,0.5833333333333334,0.6686541737649063,0.6621621621621622,0.7029102667744543
199,XGB,bank-marketing,300,0.5,0.6666666666666666,0.6827427133570979,1.0,0.7131753554502369
200,Nearest Neighbors,bank-marketing,300,0.6,0.42424242424242425,0.6460523603380747,0.7634408602150538,0.6678550207961973
201,Decision Tree,bank-marketing,300,0.6,0.4117647058823529,0.6773740212808673,0.8279569892473119,0.6888544891640866
202,Random Forest,bank-marketing,300,0.6,0.5806451612903226,0.700583819849875,0.8795811518324608,0.7433955292813597
203,Neural Net,bank-marketing,300,0.6,0.6176470588235294,0.6854985680812289,0.6233766233766234,0.7007324135581673
204,AdaBoost,bank-marketing,300,0.6,0.6111111111111112,0.7041152263374486,0.8108108108108109,0.7331960307058604
205,Naive Bayes,bank-marketing,300,0.6,0.5294117647058824,0.6653377630121816,0.6473988439306358,0.7009973539588846
206,QDA,bank-marketing,300,0.6,0.5714285714285714,0.6668100666810066,0.6549707602339181,0.6884297520661157
207,XGB,bank-marketing,300,0.6,0.5555555555555556,0.7258351452856295,1.0,0.7331576966503576
208,Nearest Neighbors,bank-marketing,300,0.7,0.5853658536585366,0.6450457620374055,0.8155339805825242,0.6554419723391461
209,Decision Tree,bank-marketing,300,0.7,0.6111111111111112,0.6551112861926335,0.8656716417910447,0.6533039647577092
210,Random Forest,bank-marketing,300,0.7,0.6470588235294118,0.7104877538203893,0.8461538461538461,0.7255794701986755
211,Neural Net,bank-marketing,300,0.7,0.5,0.6830339837188267,0.5760517799352751,0.665994817160956
212,AdaBoost,bank-marketing,300,0.7,0.5641025641025641,0.7317362898435953,0.782608695652174,0.7477988651927215
213,Naive Bayes,bank-marketing,300,0.7,0.6060606060606061,0.6392474294465106,0.5824175824175825,0.6440452428476381
214,QDA,bank-marketing,300,0.7,0.6060606060606061,0.6407640546993705,0.6524064171122995,0.646119733924612
215,XGB,bank-marketing,300,0.7,0.5142857142857142,0.6904075751337999,1.0,0.7158882316948807
216,Nearest Neighbors,bank-marketing,300,0.8,0.6938775510204082,0.6702402223545761,0.8395061728395061,0.683206106870229
217,Decision Tree,bank-marketing,300,0.8,0.6666666666666666,0.7019265721555797,0.8421052631578947,0.7302765917950622
218,Random Forest,bank-marketing,300,0.8,0.7307692307692307,0.7381270265115392,0.8132780082987552,0.7512465373961219
219,Neural Net,bank-marketing,300,0.8,0.6190476190476191,0.6065197428833793,0.6259946949602122,0.68558103381267
220,AdaBoost,bank-marketing,300,0.8,0.7037037037037037,0.7444523979957051,0.7966804979253111,0.7623285131627735
221,Naive Bayes,bank-marketing,300,0.8,0.55,0.6486721811057902,0.6574074074074074,0.6876814599751141
222,QDA,bank-marketing,300,0.8,0.5,0.6441865557258595,0.631578947368421,0.6810742761225346
223,XGB,bank-marketing,300,0.8,0.7058823529411765,0.7194934765924789,1.0,0.7401171303074671
224,Nearest Neighbors,bank-marketing,300,0.9,0.7719298245614035,0.6973825743994263,0.8602941176470589,0.7013270314488275
225,Decision Tree,bank-marketing,300,0.9,0.6909090909090909,0.7526999816950394,0.803347280334728,0.7197231833910035
226,Random Forest,bank-marketing,300,0.9,0.7333333333333333,0.778840946019137,0.8650519031141869,0.759369527145359
227,Neural Net,bank-marketing,300,0.9,0.6808510638297872,0.6151832460732984,0.7166666666666667,0.7171023806046444
228,AdaBoost,bank-marketing,300,0.9,0.7457627118644068,0.7750130502871063,0.85,0.7729365922777187
229,Naive Bayes,bank-marketing,300,0.9,0.5581395348837209,0.62128222075347,0.5929203539823009,0.6431813269937324
230,QDA,bank-marketing,300,0.9,0.5909090909090909,0.6199245617927668,0.5982142857142857,0.6291245050593929
231,XGB,bank-marketing,300,0.9,0.711864406779661,0.7714236050756127,1.0,0.757777378169394
232,Nearest Neighbors,bank-marketing,300,1.0,0.6779661016949152,0.6886667923816707,0.8421052631578947,0.6935719503287071
233,Decision Tree,bank-marketing,300,1.0,0.7333333333333333,0.6938455507644061,0.8562300319488818,0.6756706753006475
234,Random Forest,bank-marketing,300,1.0,0.7692307692307693,0.7505543237250555,0.86875,0.7446922390722569
235,Neural Net,bank-marketing,300,1.0,0.7894736842105263,0.7017045454545454,0.7658402203856749,0.7088882006813255
236,AdaBoost,bank-marketing,300,1.0,0.7586206896551724,0.7290186287689648,0.8067796610169492,0.7265655387008946
237,Naive Bayes,bank-marketing,300,1.0,0.6440677966101694,0.6430639055889557,0.6201550387596899,0.647636039250669
238,QDA,bank-marketing,300,1.0,0.6296296296296297,0.6410654827968923,0.6507936507936508,0.6404644930772666
239,XGB,bank-marketing,300,1.0,0.7868852459016393,0.7320812571866615,1.0,0.7257973202491036
240,Nearest Neighbors,bank-marketing,400,0.1,0.0,0.20955518945634266,0.47058823529411764,0.6795484981825138
241,Decision Tree,bank-marketing,400,0.1,0.0,0.508235294117647,0.5945945945945946,0.48436671966083733
242,Random Forest,bank-marketing,400,0.1,0.0,0.15912954777286636,0.6153846153846154,0.6733992264718521
243,Neural Net,bank-marketing,400,0.1,0.0,0.4084856691491763,0.17167381974248927,0.677239279370718
244,AdaBoost,bank-marketing,400,0.1,0.0,0.44055555555555553,0.4745762711864407,0.6756646216768916
245,Naive Bayes,bank-marketing,400,0.1,0.0,0.4906054279749478,0.45714285714285713,0.4754941781749255
246,QDA,bank-marketing,400,0.1,0.5,0.45739177783827933,0.5,0.4968220338983051
247,XGB,bank-marketing,400,0.1,0.0,0.49471458773784355,1.0,0.6541431851388019
248,Nearest Neighbors,bank-marketing,400,0.2,0.23529411764705882,0.3406625622984462,0.6197183098591549,0.3890560875512996
249,Decision Tree,bank-marketing,400,0.2,0.43478260869565216,0.568176428740811,0.576271186440678,0.3656716417910448
250,Random Forest,bank-marketing,400,0.2,0.2857142857142857,0.3213094877235526,0.6875,0.42712436691052336
251,Neural Net,bank-marketing,400,0.2,0.13333333333333333,0.13232389730085584,0.38461538461538464,0.3697091851425281
252,AdaBoost,bank-marketing,400,0.2,0.5555555555555556,0.4465167306637411,0.7058823529411765,0.47703464947622887
253,Naive Bayes,bank-marketing,400,0.2,0.3157894736842105,0.5761732851985559,0.5063291139240507,0.6129556535871836
254,QDA,bank-marketing,400,0.2,0.25,0.5426685525695427,0.5714285714285714,0.5946828358208955
255,XGB,bank-marketing,400,0.2,0.14285714285714285,0.4082199389058595,1.0,0.48724019994738227
256,Nearest Neighbors,bank-marketing,400,0.3,0.5263157894736842,0.47199170124481327,0.7297297297297297,0.6916981132075471
257,Decision Tree,bank-marketing,400,0.3,0.4,0.5859690844233056,0.593939393939394,0.7496580027359782
258,Random Forest,bank-marketing,400,0.3,0.14285714285714285,0.3226788432267884,0.6938775510204082,0.7569230769230769
259,Neural Net,bank-marketing,400,0.3,0.34285714285714286,0.548710050057759,0.6993006993006993,0.7062416491696889
260,AdaBoost,bank-marketing,400,0.3,0.5263157894736842,0.6277407054337464,0.6163522012578616,0.7476095976907812
261,Naive Bayes,bank-marketing,400,0.3,0.6363636363636364,0.6030680728667306,0.603448275862069,0.6496758327744243
262,QDA,bank-marketing,400,0.3,0.6086956521739131,0.609895337773549,0.6086956521739131,0.6628445424476296
263,XGB,bank-marketing,400,0.3,0.47058823529411764,0.6032359333494325,1.0,0.7401400663472171
264,Nearest Neighbors,bank-marketing,400,0.4,0.45714285714285713,0.5432994678277697,0.782608695652174,0.6819338422391857
265,Decision Tree,bank-marketing,400,0.4,0.42424242424242425,0.4851639770952629,0.7411167512690355,0.6799398948159279
266,Random Forest,bank-marketing,400,0.4,0.5454545454545454,0.5645361850285998,0.7840909090909091,0.7253002712127082
267,Neural Net,bank-marketing,400,0.4,0.631578947368421,0.715112540192926,0.6067415730337079,0.7313030069390902
268,AdaBoost,bank-marketing,400,0.4,0.5882352941176471,0.6142286921812632,0.7329842931937173,0.7483406030722549
269,Naive Bayes,bank-marketing,400,0.4,0.6060606060606061,0.5966587112171837,0.5868263473053892,0.706709521896344
270,QDA,bank-marketing,400,0.4,0.5555555555555556,0.6063411247396436,0.6385542168674698,0.6968838526912181
